# Build targets. The container supplies the distribution; the machine supplies
# the architecture. Nothing here is emulated or cross-compiled, so a row is
# buildable only on hardware of a listed architecture.
#
# The arches column is load-bearing: the official archlinux image publishes
# amd64 only, so without it CI would schedule an Arch leg onto an ARM runner.
#
# id            format  image                                    arches
fedora          rpm     fedora:latest                            amd64,arm64
rhel9           rpm     registry.access.redhat.com/ubi9/ubi      amd64,arm64
rhel10          rpm     registry.access.redhat.com/ubi10/ubi     amd64,arm64
debian-stable   deb     debian:stable                            amd64,arm64
# No ubuntu-lts row. Ubuntu 24.04 LTS ships Go 1.22, which cannot fetch the
# 1.27 toolchain go.mod requires ("toolchain not available") -- Go 1.24 can,
# Debian stable has it, Ubuntu LTS does not. Its repositories carry
# golang-1.24-go, but Debian-style versioned Go packages install to
# /usr/lib/go-1.24/bin and provide no /usr/bin/go, so using it would mean
# per-target special-casing in the driver. Add the row back when Ubuntu's
# default Go moves, or when go.mod's floor drops.
arch            arch    archlinux:latest                         amd64
